t,id,iq,omega,gamma
-180.2500E-03,-106.4020E-03,-321.6080E-03,-4.2613065E+00,+1.9918820E+00
-180.0000E-03,-106.4020E-03,-321.6080E-03,-4.1005025E+00,+1.7299322E+00
-179.7500E-03,-106.4020E-03,-281.2639E-03,-4.2613065E+00,+1.4679823E+00
-179.5000E-03,-45.6004E-03,-302.0076E-03,-4.1005025E+00,+1.3472362E+00
-179.2500E-03,-27.1434E-03,-242.3494E-03,-4.1820479E+00,+1.1852888E+00
-179.0000E-03,-186.8040E-03,-182.6912E-03,-4.1809045E+00,+901.4518E-03
-178.7500E-03,-224.5751E-03,-241.2060E-03,-4.1005025E+00,+543.2161E-03
-178.5000E-03,-267.2060E-03,-321.6080E-03,-4.1809045E+00,+382.4121E-03
-178.2500E-03,-186.8040E-03,-321.6080E-03,-4.1005025E+00,+144.9225E-03
-178.0000E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,-68.5186E-03
-177.7500E-03,-141.6000E-03,-321.6080E-03,-4.0552984E+00,-376.4040E-03
-177.5000E-03,-106.4020E-03,-321.6080E-03,-4.1664503E+00,-582.4121E-03
-177.2500E-03,-100.1124E-03,-327.8977E-03,-4.1067921E+00,-829.9077E-03
-177.0000E-03,-106.4020E-03,-321.6080E-03,-4.2613065E+00,-1.1452261E+00
-176.7500E-03,-26.0000E-03,-321.6080E-03,-4.1809045E+00,-1.3060301E+00
-176.5000E-03,-174.9230E-03,-104.1641E-03,-4.2613065E+00,-1.6038761E+00
-176.2500E-03,-186.8040E-03,-232.3433E-03,-4.1809045E+00,-1.8688442E+00
